ID;CIRCUIT;JOINT_E;JOINT_S;TOURNEE;POINTS;STAMP
6082;8439;7128;7127;2017_07_17 - LBRES_PLS_170717733;*10-818-30-814-50-761-90-874-131-862-171-1031-212-983-252-1020-292-886-332-933-372-861-412-1004-453-1025-493-1222-533-1127-573-1123-613-964-653-1012-694-954-735-1148-776-1195-816-1440-857-1269-874-1284-892-1267;736547
6083;8440;7129;7128;2021_15298;*10-617-25-672-40-606-69-649-99-640-128-615-157-609-187-725-218-720-248-780-278-764-308-776-338-715-368-724-398-726-427-698-457-689-487-733-517-745-546-856-576-853-606-913-636-842-665-856-695-847-725-831-755-800-785-809-815-798-845-867-875-886-904-1007-934-1072-963-1145-992-1086-1005-1085-1019-1065;17711768
6084;8441;7130;7129;2017_07_17 - LBRES_PLS_170717733;*10-756-30-760-50-728-89-801-129-765-168-852-207-799-245-870-283-821-323-892-364-814-403-882-442-825-481-943-521-896-559-981-598-928-637-1000-676-926-715-1025-755-931-794-1080-833-988-872-1128-911-1046-950-1163-989-1042-1028-1142-1067-1095-1106-1219-1146-1159-1164-1241-1182-1257;736547
6085;8442;7131;7130;2021_15298;*10-675-25-665-40-663-70-689-100-671-130-687-160-664-189-681-219-662-249-694-279-688-309-737-339-736-368-780-398-769-428-800-458-773-488-788-518-752-548-762-578-757-607-769-637-801-667-795-697-862-726-869-755-860-785-862-815-846-845-851-875-826-904-822-934-787-963-839-993-866-1022-926-1052-923-1082-994-1112-938-1122-975-1133-989;17711768
6086;8443;7132;7131;2017_06_12 - LBRES_PLS_120617657;*16-821-36-804-56-756-97-813-138-739-178-818-219-777-259-899-300-863-341-944-382-858-422-917-462-839-502-944-543-918-584-1052-625-984-666-1054-707-950-747-1005-788-922-829-1053-870-1045-910-1221-950-1125-966-1203-983-1205;736508
6087;8444;7121;7133;2017_06_12 - LBPLD_RES_120617656;*10-824-25-821-40-802-70-830-101-822-131-878-162-882-192-953-223-965-253-1027-284-1032-314-1043-344-997-375-980-406-915-436-924-467-897-497-933-528-941-558-1013-588-1058-618-1136-649-1166-679-1237-710-1227-741-1242-773-1135-802-1104-832-1034-863-1030-894-1005-924-1050-955-1080-984-1169-1014-1235-1044-1347-1075-1370-1086-1428-1097-1465;736507
6088;8445;7133;7134;2017_06_12 - LBPLD_RES_120617656;*9-751-29-749-49-709-87-740-126-685-164-723-203-691-241-791-280-764-319-796-358-784-396-809-435-812-473-852-511-781-550-842-590-818-629-938-668-943-707-1029-746-950-784-984-823-900-861-942-900-891-939-1010-978-1023-1016-1170-1055-1111-1071-1147-1088-1162;736507
6089;8446;7134;7135;2020_14660;*10-611-25-625-40-626-70-667-101-675-132-711-163-694-193-706-224-668-254-663-285-627-316-632-347-613-377-641-408-648-439-699-470-723-500-772-531-787-562-816-593-800-623-806-654-751-685-736-716-695-746-695-777-674-808-718-839-745-869-821-900-870-930-952-960-962-974-987-988-1008;17705873
6090;8447;7135;7136;2017_06_12 - LBPLD_RES_120617656;*9-748-29-745-49-705-90-772-132-743-172-819-213-788-254-847-295-796-336-846-377-786-418-855-459-826-500-916-541-892-581-968-622-898-663-972-705-902-746-956-788-893-828-985-869-982-909-1107-950-1057-967-1112-985-1139;736507
6091;8448;7136;7137;2020_14660;*10-610-24-623-39-622-70-676-102-684-133-725-164-710-195-719-226-675-257-664-288-624-319-627-350-611-381-637-412-645-443-704-474-736-505-801-537-815-567-853-598-825-629-823-661-757-692-737-723-687-754-692-785-678-816-721-847-745-878-832-909-881-941-970-973-968-985-991-998-1007;17705873
6092;8449;7137;7138;2017_06_12 - LBPLD_RES_120617656;*10-746-30-735-50-700-88-739-126-696-165-745-204-712-242-783-281-755-319-832-358-788-396-835-435-776-474-829-513-775-551-843-590-825-627-926-665-919-704-986-743-912-781-946-819-864-857-914-896-877-935-990-974-1005-1012-1131-1051-1068-1067-1116-1084-1125;736507
6093;8450;7138;7139;2020_14660;*12-821-26-845-40-840-70-925-101-978-132-1054-163-1056-193-1086-223-1045-253-1043-284-976-314-965-345-914-375-932-405-913-436-971-467-967-497-1095-527-1152-558-1248-589-1254-619-1285-649-1225-680-1189-711-1096-741-1071-772-1001-802-1013-833-1005-863-1074-893-1126-924-1278-955-1386-984-1529-1014-1512-1029-1516-1044-1534;17705873
6094;8451;7139;7140;2017_06_12 - LBPLD_RES_120617656;*10-746-30-748-50-696-90-750-131-689-171-741-212-702-253-787-294-772-334-861-375-806-415-867-456-789-496-839-537-790-577-881-618-872-658-972-699-930-739-996-780-879-821-853-862-788-901-939-941-953-981-1102-1022-1068-1039-1125-1056-1153;736507
6095;8452;7140;7141;2017_06_12 - LBPLD_RES_120617656;*10-858-25-871-40-872-69-939-98-957-127-1031-157-1040-186-1086-216-1052-245-1037-274-979-303-961-333-909-362-921-392-910-421-958-450-977-478-1055-507-1100-536-1185-566-1201-595-1267-625-1219-654-1217-683-1123-712-1095-742-1021-771-1028-800-1012-829-1063-859-1097-888-1205-917-1277-946-1399-975-1419-987-1451-1000-1483;736507
6096;8453;7141;7142;2017_06_12 - LBPLD_RES_120617656;*10-730-30-722-50-678-92-718-134-674-175-747-217-735-259-819-301-794-341-842-382-771-423-801-465-741-507-819-550-796-591-907-633-855-674-967-716-884-758-902-800-821-841-892-882-874-924-1013-966-1012-984-1063-1002-1109;736507
6097;8454;7143;7132;2017_06_12 - LBRES_PLS_120617657;*10-645-25-676-40-659-70-721-101-722-131-780-162-779-192-817-223-792-254-814-286-771-315-796-345-772-375-808-406-796-437-856-468-853-498-917-528-902-559-947-590-895-620-914-650-865-680-889-711-865-741-906-772-891-802-960-833-969-863-1048-894-1048-924-1083-955-1046-966-1040-978-1040;736508
6098;8455;7144;7143;2021_15229;*10-788-30-784-50-741-91-801-132-747-173-845-215-801-255-897-296-839-337-916-378-871-419-949-460-862-501-870-542-861-583-941-625-967-665-1084-706-946-747-1035-789-935-830-1065-871-1046-911-1226-952-1161-969-1220-986-1241;17711271
6099;8456;7145;7144;2017_06_12 - LBRES_PLS_120617657;*9-646-24-660-40-656-70-680-100-648-131-662-162-623-193-636-224-607-255-639-286-633-316-693-347-702-378-761-409-751-440-779-471-739-501-752-532-712-563-718-594-690-625-724-656-727-686-800-716-815-746-894-777-863-808-890-839-831-869-839-900-773-931-797-962-772-993-826-1024-841-1054-952-1085-1002-1115-1076-1146-1041-1158-1043-1171-1032;736508
6100;8457;7146;7145;2017_07_03 - LBRES_PLS_30717694;*9-781-29-774-49-728-91-795-133-727-175-810-217-769-259-883-301-829-342-918-384-842-426-909-468-840-510-929-552-896-594-1023-636-958-677-1035-718-956-760-1031-802-933-843-1053-885-1023-926-1187-968-1104-985-1166-1002-1198;736540
6101;8459;7148;7147;2017_06_12 - LBRES_PLS_120617657;*10-767-30-784-50-749-91-836-132-750-173-804-215-730-256-816-297-782-338-915-379-881-420-946-462-836-503-885-544-803-585-909-627-897-668-1065-709-1017-750-1065-791-927-832-976-874-895-915-1029-956-1033-998-1260-1040-1179-1057-1215-1074-1225;736508
6102;8460;7149;7148;2017_06_12 - LBRES_PLS_120617657;*16-644-31-645-46-626-76-663-106-665-136-724-166-740-196-795-227-777-257-794-287-747-317-752-348-703-378-721-408-694-438-742-468-754-498-816-529-846-558-932-588-904-618-912-649-840-679-834-710-774-740-784-770-763-800-823-830-849-860-971-890-1039-920-1135-950-1078-962-1081-975-1070;736509
6103;8461;7150;7149;2017_06_12 - LBRES_PLS_120617657;*10-841-30-744-50-719-90-753-130-773-170-896-211-885-251-984-291-907-331-937-372-846-413-932-455-891-495-1017-536-1008-576-1132-616-1016-655-1065-695-955-736-1047-777-987-816-1151-856-1152-895-1309-934-1175-951-1224-968-1228;736509
6104;8462;7151;7150;2017_06_12 - LBRES_PLS_120617657;*10-632-25-631-40-609-71-651-102-600-133-645-164-618-195-670-226-664-257-727-288-718-318-767-349-742-380-763-411-724-442-735-473-699-504-733-535-723-566-789-598-809-629-873-660-858-691-893-723-848-753-864-784-806-815-816-846-779-877-830-908-835-938-930-969-969-999-1032-1029-1019-1042-1026-1055-1032;736509
6105;8463;7152;7151;2017_06_12 - LBRES_PLS_120617657;*10-751-30-778-50-753-90-822-130-763-169-819-209-742-249-826-289-797-329-899-369-874-409-945-449-842-489-911-529-826-569-938-609-913-649-1069-689-1003-728-1078-768-954-808-1004-848-918-888-1062-929-1053-967-1221-1006-1149-1023-1197-1041-1215;736509
6106;8464;7142;7153;2017_06_12 - LBPLD_RES_120617656;*10-707-25-722-40-712-69-736-99-725-131-746-164-719-195-731-226-704-257-724-288-712-319-745-350-746-381-795-412-799-443-844-474-828-505-857-536-831-566-847-597-812-628-821-660-794-691-814-722-792-753-841-784-842-814-902-844-918-872-974-901-982-914-1003-927-1026;736507
6107;8465;7153;7154;2017_06_12 - LBPLD_RES_120617656;*17-762-36-754-56-715-95-774-135-750-173-832-212-814-250-885-288-835-326-887-365-832-401-880-437-858-476-940-515-912-553-987-592-932-631-991-670-923-709-970-748-915-786-1010-824-999-862-1109-900-1071-917-1126-934-1152;736507
6108;8466;7154;7155;2017_06_12 - LBPLD_RES_120617656;*10-829-25-845-40-845-70-916-100-930-131-995-162-995-192-1032-222-998-252-1004-283-942-313-939-344-894-374-912-405-906-435-957-466-977-496-1045-527-1077-557-1168-588-1173-618-1245-648-1226-679-1229-710-1140-740-1108-771-1032-801-1031-832-1002-862-1051-893-1074-923-1183-954-1236-983-1365-1013-1381-1025-1443-1037-1483;736507
6109;8467;7155;7156;2017_06_12 - LBPLD_RES_120617656;*10-750-30-748-50-712-90-768-130-727-170-794-211-767-251-842-292-804-332-865-373-810-413-867-453-815-493-883-534-843-574-937-614-905-654-991-694-936-735-1001-776-922-816-967-856-908-896-1007-937-995-977-1125-1017-1072-1034-1130-1051-1154;736507
6110;8468;7156;7157;2017_06_12 - LBPLD_RES_120617656;*10-883-25-892-40-868-69-884-99-851-128-855-158-826-188-844-218-832-247-861-277-859-306-933-336-940-366-999-396-996-426-1035-456-1005-486-1016-516-967-545-975-574-938-604-959-635-945-664-993-694-1004-723-1083-753-1102-783-1180-813-1174-842-1214-872-1161-902-1162-932-1092-961-1090-991-1036-1021-1061-1052-1047-1081-1110-1110-1123-1140-1221-1170-1267-1200-1349-1230-1347-1259-1387-1288-1335-1318-1324-1348-1227-1378-1219-1408-1159-1437-1185-1467-1166-1496-1250-1526-1289-1556-1429-1586-1498-1615-1629-1645-1626-1675-1674-1705-1588-1735-1524-1765-1372-1794-1373-1823-1291-1852-1312-1882-1300-1911-1397-1941-1459-1971-1650-2002-1785-2031-1949-2060-1931-2073-1927-2086-1971;736509
6111;8469;7157;7158;2017_06_12 - LBPLD_RES_120617656;*10-760-30-760-50-723-90-776-131-732-171-805-212-771-253-846-294-801-334-862-374-809-415-874-456-824-497-901-538-860-578-953-619-915-659-991-700-937-741-1000-782-927-823-995-864-947-904-1049-944-1025-984-1125-1025-1071-1065-1138-1105-1050-1145-1108-1186-1031-1227-1140-1268-1111-1309-1251-1350-1206-1390-1295-1431-1208-1471-1270-1512-1169-1553-1254-1594-1203-1634-1362-1675-1339-1715-1477-1756-1304-1797-1486-1839-1333-1878-1401-1918-1311-1958-1471-1999-1483-2040-1686-2081-1603-2098-1663-2116-1687;736507
6112;8470;7158;7159;2017_06_12 - LBPLD_RES_120617656;*10-848-25-859-40-835-70-849-101-821-131-835-162-817-192-845-223-841-253-886-284-887-314-947-345-947-374-998-404-983-435-1009-466-969-496-977-526-931-556-947-587-920-617-956-648-955-678-1011-709-1029-739-1094-770-1105-800-1161-831-1147-861-1170-892-1113-922-1123-953-1060-983-1083-1014-1046-1044-1095-1075-1090-1105-1162-1136-1183-1166-1267-1197-1279-1227-1351-1258-1333-1288-1356-1319-1278-1349-1268-1379-1194-1410-1203-1441-1164-1471-1218-1502-1220-1532-1321-1563-1369-1593-1472-1624-1495-1654-1585-1685-1568-1715-1579-1746-1470-1776-1437-1807-1342-1837-1343-1868-1302-1897-1371-1927-1384-1957-1526-1988-1610-2018-1749-2049-1754-2061-1801-2074-1851;736507
6113;8471;7160;7152;2021_15298;*13-656-26-662-39-628-70-674-102-650-133-672-164-644-194-660-224-656-254-682-285-692-315-729-346-736-377-765-408-747-438-762-469-738-499-743-530-721-561-740-592-745-623-786-654-804-684-841-715-842-746-866-777-857-808-861-839-835-869-829-900-801-931-829-962-837-993-890-1024-909-1054-961-1085-956-1099-988-1114-1007;17711768
6114;8472;7161;7160;2017_06_12 - LBRES_PLS_120617657;*10-722-30-731-50-691-89-779-128-730-168-815-208-754-247-836-286-732-325-836-364-792-403-892-443-843-482-929-521-864-559-941-598-863-636-962-675-915-714-1030-753-960-792-1054-831-976-869-1059-908-991-946-1111-985-1077-1023-1207-1061-1117-1078-1188-1095-1218;736509
6115;8473;7162;7161;2017_06_12 - LBRES_PLS_120617657;*10-650-25-648-40-633-69-651-99-636-128-669-158-665-188-712-218-709-248-753-278-734-307-755-337-720-367-740-397-708-426-733-456-712-486-757-516-749-546-810-576-810-605-860-635-835-665-862-695-821-727-831-759-796-786-823-814-805-843-860-873-863-902-934-932-940-962-1000-992-975-1022-998-1052-944-1081-957-1111-903-1141-930-1171-907-1200-973-1230-980-1260-1081-1290-1097-1319-1169-1349-1127-1379-1140-1409-1063-1439-1064-1469-995-1499-1031-1529-1009-1558-1092-1588-1120-1618-1261-1648-1299-1678-1380-1708-1305-1738-1307-1768-1210-1797-1208-1827-1125-1857-1163-1887-1136-1917-1251-1947-1259-1976-1437-2006-1502-2034-1614-2063-1523-2075-1537-2088-1543;736509
6116;8474;7163;7162;2017_06_12 - LBRES_PLS_120617657;*10-756-30-778-50-734-90-833-131-777-171-848-211-766-251-843-291-807-331-912-372-881-412-983-452-895-492-958-532-879-572-976-613-914-653-1047-694-1014-734-1114-774-1002-814-1084-854-995-894-1113-935-1054-952-1144-969-1176;736509
6117;8475;7164;7163;2017_06_12 - LBRES_PLS_120617657;*9-671-24-673-40-652-69-670-99-643-129-669-160-656-189-698-219-700-249-743-279-735-308-775-338-754-368-782-398-742-428-759-458-721-488-758-518-720-548-800-578-801-607-862-637-851-666-895-696-869-726-899-756-840-786-860-816-815-846-854-876-847-906-922-937-926-966-983-996-960-1008-980-1021-998;736509
6118;8476;7165;7164;2017_06_12 - LBRES_PLS_120617657;*16-828-36-817-56-766-95-824-134-764-173-859-212-827-251-942-290-878-329-949-369-867-408-929-447-865-485-975-524-964-563-1112-602-1038-641-1085-680-970-719-1031-759-954-798-1107-837-1112-876-1294-915-1178-931-1233-948-1235;736509
6119;8477;7166;7165;2017_06_12 - LBRES_PLS_120617657;*10-717-25-723-40-707-70-756-101-745-132-793-163-781-193-821-224-792-254-819-285-784-316-815-348-798-378-786-408-807-438-864-469-863-499-922-530-902-561-937-592-889-622-915-652-881-682-911-713-876-744-937-775-932-805-1006-836-1011-866-1079-897-1057-927-1079-958-1009-969-1030-980-1040;736509
6120;8478;7167;7166;2021_15298;*10-868-30-878-50-816-88-838-127-719-165-749-204-696-243-816-282-846-321-936-360-873-398-956-436-889-474-957-513-892-551-993-590-938-629-1050-668-992-706-1089-745-1014-783-1099-821-1009-859-1115-898-1069-937-1201-977-1116-995-1184-1013-1214;17711768
6121;8479;7168;7167;2017_06_12 - LBRES_PLS_120617657;*10-660-25-664-40-638-70-664-101-634-131-668-162-652-192-704-222-698-252-752-283-746-313-774-343-744-373-772-404-726-434-746-465-710-494-744-524-737-554-799-584-810-614-877-644-860-674-894-705-847-735-864-765-811-795-821-826-786-856-830-886-835-916-922-946-957-975-1026-1005-1006-1018-1023-1031-1031;736509
6122;8480;7159;7171;2017_06_12 - LBPLD_RES_120617656;*10-864-29-870-49-835-90-920-131-908-171-1016-211-992-251-1040-292-952-332-1001-373-926-413-1001-454-973-494-1105-535-1106-575-1207-615-1111-632-1142-649-1156;736507
6123;8481;7171;7172;2017_06_12 - LBPLD_RES_120617656;*16-1312-31-1301-46-1282-79-1273-112-1198-128-1097-*145-967-147-821-*150-552-158-845-*166-776-170-954-175-844-177-814-*179-854-187-971-*195-826-201-926-*208-847-215-1063-*223-1297-231-1256-239-1289-272-1415-305-1439-337-1495-369-1439-379-1454-390-1456;736507
6124;8482;7172;7173;2017_06_12 - LBPLD_RES_120617656;*16-1300-36-1337-56-1278-94-1483-132-1492-159-1621-*186-1646-189-1242-*192-1035-196-1220-*200-1370-203-1239-207-1034-211-1226-*215-1348-218-1193-*221-1135-226-1296-*231-1482-234-1317-*237-1195-240-1235-*244-1273-247-1108-*250-1001-254-1101-*259-1312-261-1235-*263-1230-273-1516-283-1614-321-1866-359-1701-375-1711-392-1680;736507
6125;8483;7173;7174;2017_06_12 - LBPLD_RES_120617656;*16-625-31-630-46-613-75-637-104-619-133-654-162-661-191-714-220-723-249-762-278-767-307-786-336-749-365-758-395-710-424-704-454-658-483-683-512-679-541-721-570-727-599-815-628-857-656-937-685-956-698-963-712-973;736507
6126;8484;7174;7175;2017_06_12 - LBPLD_RES_120617656;*9-720-29-716-49-674-90-714-132-680-173-751-214-743-255-825-296-799-336-854-376-793-417-819-459-759-500-817-541-799-582-915-623-910-664-988-705-912-746-942-787-856-828-906-869-861-910-976-952-993-993-1143-1034-1082-1050-1114-1066-1125;736507
6127;8485;7175;7176;2017_06_12 - LBPLD_RES_120617656;*10-839-25-867-40-835-69-837-99-856-128-900-158-931-188-1069-218-1046-247-1081-277-1021-306-1006-336-954-366-950-396-915-425-949-455-946-485-1019-515-1026-544-1122-574-1152-604-1241-634-1253-663-1262-693-1179-723-1137-753-1051-782-1040-812-998-842-1036-872-1049-902-1142-932-1206-961-1311-991-1354-1004-1417-1018-1444;736507
6128;8486;7176;7177;2017_06_12 - LBPLD_RES_120617656;*10-738-30-726-50-685-88-732-126-704-164-791-203-797-241-897-280-853-318-884-357-795-395-825-434-760-472-833-511-823-549-955-588-958-626-1026-665-928-703-941-742-843-780-890-818-857-857-984-896-1020-934-1184-972-1121-988-1146-1005-1133;736507
6129;8487;7177;7178;2017_06_12 - LBPLD_RES_120617656;*10-874-25-891-40-887-69-963-99-979-128-1050-158-1051-187-1090-217-1057-247-1055-277-981-306-973-336-922-365-934-395-916-425-969-455-985-484-1070-514-1120-543-1201-573-1216-603-1257-634-1213-663-1194-693-1104-722-1076-752-1011-782-1020-812-1007-841-1067-871-1111-901-1233-931-1304-960-1441-989-1434-1001-1490-1013-1496;736508
6130;8488;7178;7179;2017_06_12 - LBPLD_RES_120617656;*10-681-30-689-50-670-90-751-131-726-171-782-211-721-252-760-293-704-333-752-373-709-413-802-454-796-494-888-534-836-574-876-614-802-654-836-695-781-735-862-776-865-816-991-856-976-896-1028-936-928-976-966-1017-878-1057-943-1098-919-1138-1068-1179-1105-1220-1239-1261-1100-1278-1127-1295-1121;736508
6131;8490;7180;7181;2019_13704;*16-785-36-835-56-835-99-962-143-833-186-843-229-762-271-762-314-740-358-832-402-955-412-932-*422-974-433-1050-*444-1099-466-1092-488-1015-502-986-*516-985-522-999-529-868;17696216
6132;8491;7181;7182;2021_15228;*10-661-25-699-41-758-69-797-97-778-125-801-154-807-182-789-211-710-239-719-268-667-296-694-324-683-353-733-383-766-411-841-440-889-470-969-500-973-512-990-525-992;17711271
6133;8497;7188;7168;2017_06_12 - LBRES_PLS_120617657;*16-870-36-880-56-836-95-938-135-885-174-950-213-858-252-937-292-882-331-988-371-943-410-1061-450-999-489-1069-528-959-567-1038-607-984-647-1126-688-1065-704-1140-721-1189;736509
6134;8498;7189;7188;2021_15298;*16-1433-31-1515-46-1563-74-1641-*102-1449-106-1320-110-884-115-1038-*120-1218-124-978-*129-1011-131-1052-*133-1162-137-1009-*142-951-147-1050-*152-1091-155-936-*158-945-160-946-*162-1041-167-846-172-813-177-875-*183-942-205-1162-227-1147-262-1224-297-1234-327-1340-357-1339-389-1547-422-1337-426-1338-*431-775-435-1094-*440-1308-442-1167-*445-1132-449-1378-*453-1451-456-1250-*460-1230-464-1405-*469-1455-472-1287-*475-1241-479-1409-484-1325-486-1270-*488-1312-496-1629-*504-1910-525-1901-547-1766-557-1730-*568-1519-571-1054-*574-1069-580-1334-*587-1387-591-1147-*595-1066-603-1078-612-1129-623-1316-635-1442;17711768
6135;8499;7190;7189;2017_06_12 - LBRES_PLS_120617657;*16-606-65-762-*115-970-159-1179-204-1280;736509
6136;8500;7191;7190;2017_06_12 - LBRES_PLS_120617657;*10-847-25-871-40-861-69-922-98-913-127-949-156-910-184-920-213-869-242-894-271-867-299-923-328-915-357-986-386-981-415-1047-444-1045-472-1101-501-1064-530-1088-560-1022-572-1040-584-1048;736509
6137;8501;7192;7191;2017_06_12 - LBRES_PLS_120617657;*9-667-29-648-49-619-88-669-127-662-166-761-205-717-244-800-283-753-322-822-361-773-400-850-439-794-478-878-517-841-556-924-595-878-633-930-672-851-710-938-749-873-787-980-826-941-864-1050-903-978-942-1058-981-983-1020-1070-1059-995-1098-1094-1137-1059-1176-1195-1215-1109-1230-1192-1246-1214;736509
6138;8502;7193;7192;2017_07_03 - LBRES_PLS_30717694;*10-873-25-868-40-836-70-857-100-819-129-855-159-841-188-897-218-900-248-966-278-962-307-1015-337-987-367-1010-397-951-426-975-456-933-486-978-516-964-545-1042-575-1044-604-1129-634-1117-664-1178-694-1155-723-1175-753-1107-783-1115-813-1061-842-1108-872-1084-902-1180-933-1191-962-1257-992-1263-1022-1317-1052-1297-1082-1298-1112-1251-1141-1240-1171-1207-1200-1254-1230-1245-1260-1354-1290-1376-1319-1501-1349-1476-1362-1524-1376-1555;736540
6139;8503;7194;7193;2017_06_12 - LBRES_PLS_120617657;*15-711-35-701-56-663-97-736-138-701-180-792-222-750-263-815-304-746-346-820-388-755-429-845-470-806-511-912-552-852-593-929-634-848-675-924-717-858-758-956-800-899-841-1022-883-888-924-960-965-935-1006-984-1048-942-1089-1043-1130-998-1170-1139-1210-1066-1226-1100-1242-1141;736509
6140;8505;7196;7195;2019_08_21 - WBRES_PMP_210819567;*10-926-30-918-50-853-93-936-136-857-178-977-221-948-263-1091-306-1000-348-1067-391-954-433-1037-476-957-518-1119-561-1111-603-1274-646-1135-664-1181-682-1210;737292
6141;8506;7197;7196;2019_13752;*16-995-19-830-*22-885-34-868-46-883-76-903-106-868-135-885-165-842-195-887-225-890-255-974-285-1009-314-1086-344-1066-358-1075-372-1078;17696533
6142;8507;7198;7197;2021_15298;*16-842-36-849-56-781-96-842-137-733-177-856-218-767-258-886-298-910-339-931-380-834-420-970-461-823-501-930-542-980-583-1042-624-947-664-1020-704-922-745-1001-786-961-826-1074-867-1168-907-1146-948-1116-965-1157-982-1202;17711768
6143;8508;7199;7198;2018_12_12 - WBRES_PMP_121218984;*16-840-31-864-46-859-77-941-109-938-140-962-172-934-204-927-236-856-267-868-299-834-331-874-363-880-395-953-427-987-458-1098-490-1116-522-1131-554-1021-565-1020-577-1021;737041
6144;8511;7195;7194;2017_07_17 - LBRES_PLS_170717733;*17-866-25-1060-*33-1219-36-1343-*39-944-42-948-46-982-50-1087-*55-1173-59-1263-*64-885-70-1048-*77-1171-80-1270-*83-1090-93-1017-104-1275-106-1178-*109-855-117-1009-*125-1144-127-1240-*130-1029-139-968-*148-1154-151-1221-*154-957-158-917-162-961-167-1056-*172-1122-182-1036-*193-1327-203-1072-*213-990-216-970-219-794-225-787-*231-833-235-936-*239-887-258-1202-277-1232-289-1296-*301-1368-306-1351-*311-1328-322-1399-334-1409-362-1493-390-1504-419-1651-448-1640-477-1698-506-1533-519-1523-532-1529;736547
6145;8516;7182;7208;2017_06_12 - LBPLD_RES_120617656;*10-850-30-923-50-848-87-967-124-909-161-966-199-924-236-993-273-959-310-1026-348-918-385-1036-422-1002-459-1076-497-996-514-1033-532-1031;736508
6146;8517;7208;7209;2017_06_12 - LBPLD_RES_120617656;*16-761-30-779-45-808-76-831-108-810-139-812-171-765-202-765-233-724-264-739-296-724-327-766-358-770-389-777-421-819-452-884-484-892-495-921-507-930;736508
6147;8518;7209;7210;2017_06_12 - LBPLD_RES_120617656;*17-708-37-707-57-670-95-703-133-713-171-735-210-728-249-800-288-799-326-877-365-836-403-877-441-815-480-848-520-793-557-857-595-847-633-965-672-954-710-1041-748-950-786-989-825-906-863-945-902-899-941-1011-980-1033-1019-1185-1058-1119-1074-1155-1091-1157;736508
6148;8519;7210;7211;2017_06_12 - LBPLD_RES_120617656;*10-828-25-838-40-806-70-854-100-851-130-908-160-941-190-1007-221-1026-251-1089-282-1061-312-1066-342-1004-372-993-403-930-433-939-463-912-493-959-523-960-553-1049-583-1084-613-1173-644-1189-674-1251-704-1115-734-1162-765-1151-795-1107-825-1028-855-1043-885-1012-915-1066-946-1079-976-1193-1007-1262-1036-1362-1066-1384-1078-1427-1091-1477;736508
6149;8520;7211;7212;2017_06_12 - LBPLD_RES_120617656;*10-634-30-654-50-630-89-704-129-657-168-690-208-662-248-695-288-659-327-719-367-689-406-759-446-756-486-841-526-811-565-835-605-756-645-795-685-758-724-825-764-831-803-957-843-954-882-999-922-894-961-905-1001-843-1041-893-1081-869-1121-978-1161-1010-1200-1157-1239-1098-1256-1125-1273-1127;736508
6150;8522;7213;7214;2017_06_12 - LBPLD_RES_120617656;*9-760-29-775-49-752-88-853-128-851-167-941-207-875-246-890-286-800-326-831-366-780-405-865-445-866-484-997-524-992-563-1044-603-928-643-944-683-839-722-899-762-871-802-1020-842-1063-881-1239-921-1143-938-1165-956-1141;736508
6151;8523;7214;7215;2017_06_12 - LBPLD_RES_120617656;*16-566-30-577-45-576-75-622-106-646-137-694-168-695-198-714-228-675-259-660-290-613-320-607-350-582-381-595-413-591-443-635-473-647-503-714-534-745-564-809-595-818-626-826-657-768-687-726-718-673-748-652-778-626-809-647-840-651-871-708-903-751-935-841-967-880-978-928-990-948;736508
6152;8524;7215;7216;2017_06_12 - LBPLD_RES_120617656;*9-698-29-717-49-703-88-769-127-716-166-735-206-673-244-704-283-670-322-753-361-757-400-866-440-836-479-870-518-776-556-797-595-731-634-797-673-794-712-935-751-957-790-1035-829-938-867-938-906-835-945-877-984-846-1024-981-1064-1031-1103-1222-1143-1166-1160-1172-1177-1154;736508
6153;8525;7216;7217;2017_06_12 - LBPLD_RES_120617656;*10-552-25-566-40-564-69-611-98-625-127-674-156-684-185-721-214-703-243-699-272-653-301-644-330-604-359-610-388-588-417-624-447-627-475-682-504-706-533-771-562-797-591-856-620-880-649-818-679-755-708-728-737-676-766-675-796-653-825-689-854-701-884-777-915-817-944-888-973-934-984-959-996-999;736508
6154;8526;7217;7218;2017_06_12 - LBPLD_RES_120617656;*10-730-29-750-49-722-88-770-128-702-166-731-205-674-244-729-283-707-322-791-361-787-399-865-438-815-476-850-515-777-554-815-593-766-632-840-671-834-710-956-749-942-788-996-828-823-867-930-906-859-945-913-984-881-1023-1006-1062-1020-1099-1148-1137-1082-1154-1116-1172-1121;736508
6155;8527;7218;7219;2017_06_12 - LBPLD_RES_120617656;*10-716-25-744-40-734-71-797-102-797-132-862-162-836-193-889-224-846-254-870-284-820-314-825-345-795-376-804-407-793-438-811-469-816-499-879-530-937-560-997-591-1009-621-1061-652-1026-682-1032-713-966-743-941-774-860-805-896-836-867-866-929-897-904-927-1032-957-1030-988-1070-1019-1138-1049-1201-1080-1143-1110-1138-1141-1035-1171-1011-1202-976-1232-1006-1263-977-1294-1050-1325-1103-1355-1223-1386-1319-1416-1426-1447-1426-1459-1472-1471-1473;736508
6156;8529;7221;7220;2019_13752;*10-667-25-678-40-648-69-659-98-606-127-632-157-595-186-629-216-625-246-673-276-683-305-759-335-775-364-803-394-770-424-759-454-696-483-707-512-666-541-700-571-690-600-752-630-774-659-866-689-895-719-944-749-876-778-862-808-773-837-775-867-736-896-777-925-774-954-842-984-922-997-916-1010-925;17696533
